iter	Passed	Remaining
462	767	890
463	768	888
464	770	886
465	771	884
466	772	881
467	773	879
468	775	877
469	776	875
470	777	873
471	778	871
472	780	869
473	781	867
474	782	865
475	783	862
476	785	860
477	786	858
478	787	856
479	788	854
480	790	852
481	791	850
482	792	848
483	794	846
484	795	844
485	796	842
486	798	840
487	799	838
488	800	836
489	801	834
490	803	832
491	804	830
492	806	828
493	807	826
494	808	824
495	809	822
496	810	820
497	812	818
498	813	816
499	814	814
500	815	812
501	817	810
502	818	808
503	819	806
504	821	804
505	822	802
506	823	800
507	824	798
508	826	796
509	827	795
510	828	793
511	830	791
512	831	789
513	832	787
514	834	785
515	835	783
516	836	781
517	838	779
518	839	777
519	840	775
520	841	773
521	842	771
522	844	769
523	845	767
524	846	765
525	848	764
526	849	762
527	850	760
528	852	758
529	853	756
530	854	754
531	855	752
532	856	750
533	858	748
534	859	747
535	860	744
536	861	742
537	862	740
538	863	738
539	865	736
540	866	734
541	867	732
542	868	730
543	869	728
544	870	726
545	871	724
546	872	722
547	873	720
548	874	718
549	876	716
550	877	714
551	878	712
552	879	710
553	880	708
554	881	706
555	882	704
556	883	702
557	884	700
558	885	698
559	887	696
560	888	695
561	889	693
562	890	691
563	891	689
564	893	687
565	894	685
566	895	683
567	896	681
568	897	679
569	898	678
570	900	676
571	901	674
572	902	672
573	903	670
574	904	668
575	905	666
576	906	664
577	907	662
578	909	660
579	910	659
580	911	657
581	912	655
582	913	653
583	914	651
584	915	649
585	916	647
586	917	645
587	918	643
588	919	641
589	920	639
590	921	638
591	923	636
592	924	634
593	925	632
594	926	630
595	927	628
596	928	626
597	929	624
598	930	623
599	931	621
600	933	619
601	934	617
602	935	615
603	936	613
604	937	611
605	938	610
606	939	608
607	940	606
608	941	604
609	942	602
610	944	601
611	945	599
612	946	597
613	947	595
614	949	594
615	950	592
616	951	590
617	952	588
618	954	587
619	955	585
620	956	583
621	957	582
622	959	580
623	960	578
624	961	577
625	963	575
626	964	573
627	965	571
628	966	570
629	968	568
630	969	566
631	970	565
632	971	563
633	973	561
634	974	559
635	975	558
636	976	556
637	977	554
638	978	552
639	979	550
640	980	549
641	981	547
642	982	545
643	983	543
644	985	542
645	986	540
646	987	538
647	989	537
648	990	535
649	991	533
650	992	531
651	993	530
652	994	528
653	995	526
654	996	524
655	998	523
656	999	521
657	1000	520
658	1001	518
659	1002	516
660	1003	514
661	1005	513
662	1006	511
663	1007	509
664	1008	508
665	1010	506
666	1011	505
667	1013	503
668	1014	502
669	1015	500
670	1017	498
671	1018	497
672	1020	495
673	1021	493
674	1022	492
675	1023	490
676	1024	488
677	1025	487
678	1026	485
679	1028	483
680	1029	482
681	1030	480
682	1031	478
683	1032	476
684	1033	475
685	1034	473
686	1035	471
687	1036	470
688	1037	468
689	1039	466
690	1040	465
691	1041	463
692	1042	461
693	1043	460
694	1044	458
695	1046	456
696	1047	455
697	1048	453
698	1049	451
699	1050	450
700	1051	448
701	1052	446
702	1053	445
703	1054	443
704	1056	441
705	1057	440
706	1058	438
707	1059	436
708	1060	435
709	1061	433
710	1062	431
711	1063	430
712	1064	428
713	1065	426
714	1067	425
715	1068	423
